ID,Товар,Цена,Остаток
112,"Балансиры разные ""яман"", и др. большая часть фото балансиров есть в ""больше фото"" по ссылке. В Сызрани можем привезти всю коробку для выбора реальному покупателю",54,675
113,"Рыбки Силиконовые с крючками  8-9гр, разного цвета, цена за шт",30,25
114,КОРМУШКА КЗ-1 зимняя Самосвал оснащенная,51,22
115,МОТЫЛЬНИЦА КВАДРАТНАЯ средняя (60*80*30),30,123
116,Мормышка ПРИЩЕПКА кр. Мустад (уп/3шт),93,22
117,"ЧЕРПАК для льда пластиковый ""Три Кита"" (цвет зеленый)",49,22
118,Набор для зимней рыбалки Ice Master в блистере №2 (макси),224,22
119,"Спрей зимний ""ICY"" ""УНИВЕРСАЛ"" 50мл",68,22
120,"Мотыль гранулированный ""ICY"" 3мм с кровью и экстрактом мотыля 200гр",49,72
121,"УДОЧКА зимняя ""Балалайка"" УС- 1 (хлыст поликарб.) АССОРТИ",49,42
122,Наживка искусст. Мотыль Аромат.(ваниль),7,1
123,Наживка искусст. Мотыль Аромат.(конопля),7,2
124,Сторожок В-2 витой АССОРТИ 3- 4гр,12,22
125,"Сторожок ниппельный №1 (0,4-3гр.)",8,22
126,"Сторожок М-2Ф (0,5- 1,7гр)",20,21
127,"Силиконовая насадка ""ENERGY BAIT"" ОПАРЫШ (XL),  (80шт)",117,22
128,ПОПЛАВОК зимний тип 1 средний h-18мм,10,42
129,Ящик серый+кейс Fishka 40(5шт),2425,3
130,Ящик серый+кейс Fishka 50(4шт),2086,3
131,Ящик серый+кейс Fishka 65(3шт),1746,3
132,Ящик серый+кейс Fishka(65-50-40-40),2086,1
133,Ящик серый+кейс Fishka(65-50-50-40),2086,1
134,Ящик серый+кейс Fishka(50-50-40-40),2086,1
135,"Леска ""IGUANA"" 100м 0,28мм",34,147
136,"Плетеный шнур 100m ""BRIGADE"" 0.10",59,97
137,"Леска NAMAZU ""Amida"" 30м d-0,1 test 1,5kg прозрачная",30,39
138,"Леска NAMAZU ""Irida"" 100м d-0,14 test 1,98kg прозрачная",45,75
139,Леска KAIDA NILON Line 0.3 100 метров,34,20
140,"Удочка зимняя Namazu ""Zander"" с катушкой, сьемные ножки, файбергласс",85,122
141,"Вертлюг Namazu ROLLING SWIVEL, латунь, цв. BN, р. 7, test-14 кг (уп. 10 шт)",20,84
